day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 80, 60, No Precipitation, 54, 15, Prevailing Direction, 85, 65, Normal
1, Gromdain, Thaumont, 2, 75, 55, No Precipitation, 67, 25, Prevailing Direction, 80, 55, Normal
2, Tserdain, Thaumont, 3, 80, 60, No Precipitation, 41, 25, Prevailing Direction, 85, 60, Normal
3, Moldain, Thaumont, 4, 85, 65, No Precipitation, 52, 15, From Tropics, 95, 70, Normal
4, Nytdain, Thaumont, 5, 80, 65, No Precipitation, 62, 30, Prevailing Direction, 85, 65, Normal
5, Loshdain, Thaumont, 6, 85, 65, No Precipitation, 53, 20, Prevailing Direction, 90, 65, Normal
6, Soladain, Thaumont, 7, 80, 65, No Precipitation, 57, 35, Prevailing Direction, 85, 65, Normal
7, Lunadain, Thaumont, 8, 80, 60, No Precipitation, 50, 45, Prevailing Direction, 80, 60, Normal
8, Gromdain, Thaumont, 9, 80, 65, No Precipitation, 48, 30, Prevailing Direction, 85, 65, Normal
9, Tserdain, Thaumont, 10, 85, 65, No Precipitation, 67, 20, Prevailing Direction, 90, 65, Normal
10, Moldain, Thaumont, 11, 90, 70, No Precipitation, 46, 10, From Tropics, 100, 75, Normal
11, Nytdain, Thaumont, 12, 90, 75, Trace Rain (<1/8 inch), 56, 0, Indescernable, 100, 80, Heatwave
12, Loshdain, Thaumont, 13, 90, 75, No Precipitation, 51, 0, Indescernable, 100, 80, Heatwave
13, Soladain, Thaumont, 14, 90, 75, No Precipitation, 60, 15, Prevailing Direction, 100, 80, Heatwave
14, Lunadain, Thaumont, 15, 90, 75, No Precipitation, 52, 0, Indescernable, 100, 80, Heatwave
15, Gromdain, Thaumont, 16, 90, 75, No Precipitation, 45, 0, Indescernable, 100, 80, Heatwave
16, Tserdain, Thaumont, 17, 90, 75, No Precipitation, 65, 0, Indescernable, 100, 80, Heatwave
17, Moldain, Thaumont, 18, 85, 70, No Precipitation, 50, 0, Indescernable, 95, 75, Normal
