day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 10, 0, Trace Snow (1/2 inch), 54, 10, From Arctic, -20, -30, Normal
1, Gromdain, Thaumont, 2, 25, 10, No Precipitation, 43, 0, Indescernable, -5, -5, Normal
2, Tserdain, Thaumont, 3, 35, 15, No Precipitation, 59, 0, Indescernable, 0, -5, Normal
3, Moldain, Thaumont, 4, 30, 15, No Precipitation, 63, 15, Prevailing Direction, -20, -45, Normal
4, Nytdain, Thaumont, 5, 18, 10, No Precipitation, 67, 30, From Arctic, -40, -70, Normal
5, Loshdain, Thaumont, 6, 18, 10, No Precipitation, 70, 30, Prevailing Direction, -40, -70, Normal
6, Soladain, Thaumont, 7, 18, 10, No Precipitation, 65, 30, Prevailing Direction, -40, -70, Normal
7, Lunadain, Thaumont, 8, 0, -10, Moderate Snow (2 inch), 70, 40, From Arctic, -50, -75, Normal
8, Gromdain, Thaumont, 9, -5, -20, No Precipitation, 44, 45, Prevailing Direction, -60, -75, Normal
9, Tserdain, Thaumont, 10, 10, 0, No Precipitation, 54, 30, Prevailing Direction, -40, -70, Normal
10, Moldain, Thaumont, 11, 10, 0, No Precipitation, 69, 30, Prevailing Direction, -40, -70, Normal
11, Nytdain, Thaumont, 12, 18, 10, No Precipitation, 66, 15, Prevailing Direction, -35, -45, Normal
12, Loshdain, Thaumont, 13, 10, 0, Light Snow (1 inch), 50, 25, Prevailing Direction, -40, -65, Normal
13, Soladain, Thaumont, 14, 10, 0, No Precipitation, 65, 25, Prevailing Direction, -40, -65, Normal
14, Lunadain, Thaumont, 15, 18, 10, No Precipitation, 57, 10, Prevailing Direction, -20, -30, Normal
15, Gromdain, Thaumont, 16, 0, -10, Light Snow (1 inch), 48, 20, From Arctic, -35, -55, Normal
16, Tserdain, Thaumont, 17, -5, -20, Light Snow (1 inch), 50, 30, Prevailing Direction, -50, -70, Normal
17, Moldain, Thaumont, 18, 10, 0, No Precipitation, 50, 15, Prevailing Direction, -30, -45, Normal
