day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 50, 30, Light Rain (<1/2 inch), 73, 10, Prevailing Direction, 50, -30, Normal
1, Gromdain, Thaumont, 2, 35, 15, No Precipitation, 79, 25, From Arctic, -30, -65, Normal
2, Tserdain, Thaumont, 3, 25, 10, No Precipitation, 75, 40, From Arctic, -40, -75, Normal
3, Moldain, Thaumont, 4, 25, 10, No Precipitation, 73, 45, Prevailing Direction, -40, -75, Normal
4, Nytdain, Thaumont, 5, 30, 15, Moderate Snow (2 inch), 73, 35, Prevailing Direction, -35, -75, Normal
5, Loshdain, Thaumont, 6, 35, 15, Moderate Snow (2 inch), 77, 25, Prevailing Direction, -30, -65, Normal
6, Soladain, Thaumont, 7, 40, 20, No Precipitation, 71, 10, Prevailing Direction, 40, -30, Normal
7, Lunadain, Thaumont, 8, 50, 30, No Precipitation, 83, 0, Indescernable, 50, -5, Normal
8, Gromdain, Thaumont, 9, 35, 15, Heavy Snow (4 inch), 87, 10, From Arctic, -15, -30, Normal
9, Tserdain, Thaumont, 10, 30, 15, Light Snow (1 inch), 72, 20, Prevailing Direction, -25, -55, Normal
10, Moldain, Thaumont, 11, 25, 10, Heavy Snow (4 inch), 74, 30, Prevailing Direction, -35, -70, Normal
11, Nytdain, Thaumont, 12, 40, 20, No Precipitation, 85, 15, From Tropics, 40, -45, Normal
12, Loshdain, Thaumont, 13, 60, 40, No Precipitation, 73, 0, Indescernable, 70, 40, Normal
13, Soladain, Thaumont, 14, 70, 50, No Precipitation, 89, 0, Indescernable, 80, 50, Normal
14, Lunadain, Thaumont, 15, 75, 55, Heavy Rain (<1.5 inch), 86, 0, Indescernable, 85, 65, Normal
15, Gromdain, Thaumont, 16, 70, 55, Moderate Rain (<3/4 inch), 88, 10, Prevailing Direction, 80, 65, Normal
16, Tserdain, Thaumont, 17, 75, 55, Heavy Rain (<1.5 inch), 84, 0, Indescernable, 85, 65, Normal
17, Moldain, Thaumont, 18, 70, 50, No Precipitation, 73, 15, From Arctic, 80, 50, Normal
18, Nytdain, Thaumont, 19, 70, 55, Light Rain (<1/2 inch), 79, 5, Prevailing Direction, 80, 65, Normal
19, Loshdain, Thaumont, 20, 65, 45, Light Rain (<1/2 inch), 73, 15, From Arctic, 75, 45, Normal
20, Soladain, Thaumont, 21, 60, 40, No Precipitation, 84, 30, Prevailing Direction, 65, 40, Normal
21, Lunadain, Thaumont, 22, 70, 50, Light Rain (<1/2 inch), 88, 20, From Tropics, 75, 50, Normal
22, Gromdain, Thaumont, 23, 75, 55, Light Rain (<1/2 inch), 84, 10, From Tropics, 85, 65, Normal
23, Tserdain, Thaumont, 24, 75, 55, No Precipitation, 71, 10, Prevailing Direction, 85, 65, Normal
24, Moldain, Thaumont, 25, 70, 55, Moderate Rain (<3/4 inch), 88, 20, Prevailing Direction, 75, 60, Normal
25, Nytdain, Thaumont, 26, 75, 55, No Precipitation, 72, 5, Prevailing Direction, 85, 65, Normal
26, Loshdain, Thaumont, 27, 70, 55, Heavy Rain (<1.5 inch), 88, 15, Prevailing Direction, 80, 65, Normal
