day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 85, 65, No Precipitation, 39, 10, Prevailing Direction, 90, 65, Normal
1, Gromdain, Thaumont, 2, 75, 55, No Precipitation, 22, 0, Indescernable, 80, 55, Particle Storm
2, Tserdain, Thaumont, 3, 70, 55, No Precipitation, 28, 15, Prevailing Direction, 70, 55, Normal
3, Moldain, Thaumont, 4, 70, 50, Trace Rain (<1/8 inch), 30, 25, From Arctic, 70, 50, Normal
4, Nytdain, Thaumont, 5, 70, 55, No Precipitation, 21, 25, Prevailing Direction, 70, 55, Normal
5, Loshdain, Thaumont, 6, 80, 60, Trace Rain (<1/8 inch), 30, 15, From Tropics, 85, 60, Normal
6, Soladain, Thaumont, 7, 70, 55, No Precipitation, 35, 30, From Arctic, 70, 55, Normal
7, Lunadain, Thaumont, 8, 70, 55, No Precipitation, 30, 30, Prevailing Direction, 70, 55, Normal
8, Gromdain, Thaumont, 9, 70, 50, No Precipitation, 40, 40, Prevailing Direction, 70, 50, Normal
9, Tserdain, Thaumont, 10, 70, 55, No Precipitation, 33, 40, Prevailing Direction, 70, 55, Normal
10, Moldain, Thaumont, 11, 70, 50, No Precipitation, 33, 45, Prevailing Direction, 70, 50, Normal
11, Nytdain, Thaumont, 12, 70, 50, No Precipitation, 25, 45, Prevailing Direction, 70, 50, Normal
12, Loshdain, Thaumont, 13, 80, 60, No Precipitation, 39, 30, From Tropics, 80, 60, Normal
13, Soladain, Thaumont, 14, 85, 65, No Precipitation, 27, 15, From Tropics, 90, 65, Normal
14, Lunadain, Thaumont, 15, 80, 65, No Precipitation, 22, 30, Prevailing Direction, 80, 65, Normal
15, Gromdain, Thaumont, 16, 75, 55, No Precipitation, 22, 45, From Arctic, 75, 55, Normal
16, Tserdain, Thaumont, 17, 70, 55, Trace Rain (<1/8 inch), 23, 45, Prevailing Direction, 70, 55, Normal
17, Moldain, Thaumont, 18, 75, 55, No Precipitation, 26, 30, Prevailing Direction, 75, 55, Normal
18, Nytdain, Thaumont, 19, 80, 60, No Precipitation, 36, 20, Prevailing Direction, 80, 60, Normal
19, Loshdain, Thaumont, 20, 80, 65, No Precipitation, 35, 10, Prevailing Direction, 85, 65, Normal
20, Soladain, Thaumont, 21, 75, 55, No Precipitation, 32, 20, From Arctic, 75, 55, Normal
21, Lunadain, Thaumont, 22, 70, 55, No Precipitation, 22, 35, Prevailing Direction, 70, 55, Normal
22, Gromdain, Thaumont, 23, 70, 50, No Precipitation, 22, 45, Prevailing Direction, 70, 50, Normal
23, Tserdain, Thaumont, 24, 70, 55, No Precipitation, 39, 45, Prevailing Direction, 70, 55, Normal
24, Moldain, Thaumont, 25, 75, 55, No Precipitation, 28, 30, Prevailing Direction, 75, 55, Normal
25, Nytdain, Thaumont, 26, 70, 55, No Precipitation, 33, 45, Prevailing Direction, 70, 55, Normal
26, Loshdain, Thaumont, 27, 70, 50, No Precipitation, 32, 45, Prevailing Direction, 70, 50, Normal
27, Soladain, Thaumont, 28, 70, 55, No Precipitation, 33, 35, Prevailing Direction, 70, 55, Normal
28, Lunadain, Flaurmont, 1, 70, 55, No Precipitation, 34, 0, Indescernable, 70, 55, Normal
29, Gromdain, Flaurmont, 2, 70, 55, No Precipitation, 32, 10, From Arctic, 70, 55, Normal
30, Tserdain, Flaurmont, 3, 75, 55, No Precipitation, 27, 0, Indescernable, 80, 55, Normal
31, Moldain, Flaurmont, 4, 70, 55, No Precipitation, 24, 10, Prevailing Direction, 70, 55, Normal
32, Nytdain, Flaurmont, 5, 70, 55, No Precipitation, 25, 25, From Arctic, 70, 55, Normal
33, Loshdain, Flaurmont, 6, 70, 55, No Precipitation, 23, 40, Prevailing Direction, 70, 55, Normal
34, Soladain, Flaurmont, 7, 70, 55, No Precipitation, 29, 45, Prevailing Direction, 70, 55, Normal
35, Lunadain, Flaurmont, 8, 80, 60, No Precipitation, 37, 35, From Tropics, 80, 60, Normal
36, Gromdain, Flaurmont, 9, 75, 55, No Precipitation, 21, 45, Prevailing Direction, 75, 55, Normal
37, Tserdain, Flaurmont, 10, 80, 60, No Precipitation, 26, 30, Prevailing Direction, 80, 60, Normal
38, Moldain, Flaurmont, 11, 80, 60, No Precipitation, 38, 30, Prevailing Direction, 80, 60, Normal
39, Nytdain, Flaurmont, 12, 70, 55, No Precipitation, 34, 0, Indescernable, 70, 55, Normal
40, Loshdain, Flaurmont, 13, 70, 55, No Precipitation, 33, 10, Prevailing Direction, 70, 55, Normal
41, Soladain, Flaurmont, 14, 70, 55, No Precipitation, 35, 25, Prevailing Direction, 70, 55, Normal
42, Lunadain, Flaurmont, 15, 75, 55, No Precipitation, 33, 25, Prevailing Direction, 75, 55, Normal
43, Gromdain, Flaurmont, 16, 70, 55, No Precipitation, 32, 35, Prevailing Direction, 70, 55, Normal
44, Tserdain, Flaurmont, 17, 70, 55, No Precipitation, 31, 45, Prevailing Direction, 70, 55, Normal
45, Moldain, Flaurmont, 18, 70, 55, No Precipitation, 26, 45, Prevailing Direction, 70, 55, Normal
46, Nytdain, Flaurmont, 19, 75, 55, No Precipitation, 30, 45, Prevailing Direction, 75, 55, Normal
47, Loshdain, Flaurmont, 20, 75, 55, No Precipitation, 36, 45, Prevailing Direction, 75, 55, Normal
48, Soladain, Flaurmont, 21, 85, 65, No Precipitation, 31, 0, Indescernable, 90, 65, Drought
49, Lunadain, Flaurmont, 22, 80, 65, No Precipitation, 25, 10, Prevailing Direction, 85, 65, Drought
50, Gromdain, Flaurmont, 23, 80, 60, No Precipitation, 27, 20, Prevailing Direction, 80, 60, Drought
51, Tserdain, Flaurmont, 24, 85, 65, No Precipitation, 31, 10, From Tropics, 90, 65, Drought
52, Moldain, Flaurmont, 25, 80, 60, No Precipitation, 39, 25, From Arctic, 80, 60, Drought
53, Nytdain, Flaurmont, 26, 70, 55, No Precipitation, 27, 35, From Arctic, 70, 55, Drought
54, Loshdain, Flaurmont, 27, 80, 60, No Precipitation, 25, 20, Prevailing Direction, 80, 60, Drought
55, Soladain, Flaurmont, 28, 80, 65, No Precipitation, 36, 10, Prevailing Direction, 85, 65, Normal
56, Lunadain, Yarthmont, 1, 80, 65, Trace Rain (<1/8 inch), 37, 20, From Arctic, 80, 65, Normal
57, Gromdain, Yarthmont, 2, 80, 65, No Precipitation, 39, 30, From Arctic, 80, 65, Normal
58, Tserdain, Yarthmont, 3, 85, 65, No Precipitation, 32, 30, Prevailing Direction, 90, 65, Normal
59, Moldain, Yarthmont, 4, 85, 70, No Precipitation, 39, 15, Prevailing Direction, 90, 70, Normal
60, Nytdain, Yarthmont, 5, 80, 65, No Precipitation, 32, 30, From Arctic, 80, 65, Normal
61, Loshdain, Yarthmont, 6, 80, 65, No Precipitation, 38, 45, From Arctic, 80, 65, Normal
62, Soladain, Yarthmont, 7, 85, 65, Trace Rain (<1/8 inch), 38, 35, Prevailing Direction, 90, 65, Normal
63, Lunadain, Yarthmont, 8, 85, 70, No Precipitation, 32, 20, Prevailing Direction, 90, 70, Normal
64, Gromdain, Yarthmont, 9, 90, 75, No Precipitation, 34, 10, From Tropics, 95, 80, Normal
65, Tserdain, Yarthmont, 10, 85, 70, Trace Rain (<1/8 inch), 24, 20, From Arctic, 90, 70, Normal
66, Moldain, Yarthmont, 11, 85, 65, No Precipitation, 23, 30, Prevailing Direction, 90, 65, Normal
67, Nytdain, Yarthmont, 12, 80, 65, No Precipitation, 34, 40, Prevailing Direction, 80, 65, Normal
68, Loshdain, Yarthmont, 13, 80, 65, No Precipitation, 22, 45, Prevailing Direction, 80, 65, Normal
69, Soladain, Yarthmont, 14, 85, 70, No Precipitation, 32, 30, Prevailing Direction, 90, 70, Normal
70, Lunadain, Yarthmont, 15, 85, 70, No Precipitation, 35, 30, Prevailing Direction, 90, 70, Normal
71, Gromdain, Yarthmont, 16, 85, 65, No Precipitation, 40, 40, Prevailing Direction, 85, 65, Normal
72, Tserdain, Yarthmont, 17, 85, 70, No Precipitation, 28, 25, Prevailing Direction, 90, 70, Normal
73, Moldain, Yarthmont, 18, 85, 70, No Precipitation, 37, 25, Prevailing Direction, 90, 70, Normal
74, Nytdain, Yarthmont, 19, 85, 70, No Precipitation, 36, 25, Prevailing Direction, 90, 70, Normal
75, Loshdain, Yarthmont, 20, 90, 70, No Precipitation, 33, 10, Prevailing Direction, 95, 70, Normal
76, Soladain, Yarthmont, 21, 90, 70, No Precipitation, 32, 10, Prevailing Direction, 95, 70, Normal
77, Lunadain, Yarthmont, 22, 85, 65, No Precipitation, 23, 20, From Arctic, 90, 65, Normal
78, Gromdain, Yarthmont, 23, 85, 65, No Precipitation, 29, 20, Prevailing Direction, 90, 65, Normal
79, Tserdain, Yarthmont, 24, 85, 65, No Precipitation, 33, 20, Prevailing Direction, 90, 65, Normal
80, Moldain, Yarthmont, 25, 85, 65, No Precipitation, 36, 20, Prevailing Direction, 90, 65, Normal
81, Nytdain, Yarthmont, 26, 85, 65, No Precipitation, 25, 20, Prevailing Direction, 90, 65, Normal
82, Loshdain, Yarthmont, 27, 80, 65, No Precipitation, 35, 35, From Arctic, 80, 65, Normal
83, Soladain, Yarthmont, 28, 80, 65, No Precipitation, 23, 45, Prevailing Direction, 80, 65, Normal
84, Lunadain, Klairmont, 1, 85, 70, No Precipitation, 31, 30, From Tropics, 90, 70, Normal
85, Gromdain, Klairmont, 2, 95, 75, No Precipitation, 38, 15, From Tropics, 105, 80, Normal
86, Tserdain, Klairmont, 3, 100, 80, No Precipitation, 24, 0, Indescernable, 110, 85, Normal
87, Moldain, Klairmont, 4, 115, 85, No Precipitation, 31, 0, Indescernable, 125, 90, Normal
88, Nytdain, Klairmont, 5, 115, 85, No Precipitation, 26, 0, Indescernable, 125, 90, Normal
89, Loshdain, Klairmont, 6, 105, 80, No Precipitation, 25, 10, Prevailing Direction, 115, 85, Normal
90, Soladain, Klairmont, 7, 90, 75, Trace Rain (<1/8 inch), 29, 0, Indescernable, 95, 80, Normal
91, Lunadain, Klairmont, 8, 95, 75, Trace Rain (<1/8 inch), 22, 0, Indescernable, 105, 80, Normal
92, Gromdain, Klairmont, 9, 90, 70, No Precipitation, 22, 15, From Arctic, 95, 70, Normal
93, Tserdain, Klairmont, 10, 85, 70, No Precipitation, 33, 25, Prevailing Direction, 90, 70, Normal
94, Moldain, Klairmont, 11, 90, 75, No Precipitation, 34, 10, Prevailing Direction, 95, 80, Normal
95, Nytdain, Klairmont, 12, 95, 75, No Precipitation, 27, 0, Indescernable, 105, 80, Normal
96, Loshdain, Klairmont, 13, 100, 80, No Precipitation, 40, 0, Indescernable, 110, 85, Normal
