day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 18, 10, No Precipitation, 33, 0, Indescernable, -5, -5, Normal
1, Gromdain, Thaumont, 2, 18, 10, No Precipitation, 35, 0, Indescernable, -5, -5, Normal
2, Tserdain, Thaumont, 3, 25, 10, Trace Snow (1/2 inch), 25, 0, Indescernable, -5, -5, Normal
3, Moldain, Thaumont, 4, 18, 10, Trace Snow (1/2 inch), 21, 10, Prevailing Direction, -20, -30, Normal
4, Nytdain, Thaumont, 5, 0, -10, No Precipitation, 40, 20, From Arctic, -35, -55, Normal
5, Loshdain, Thaumont, 6, -20, -40, No Precipitation, 21, 0, Indescernable, -5, -5, Normal
6, Soladain, Thaumont, 7, -15, -30, No Precipitation, 26, 0, Indescernable, -5, -5, Normal
7, Lunadain, Thaumont, 8, -20, -40, No Precipitation, 26, 15, Prevailing Direction, -40, -45, Normal
8, Gromdain, Thaumont, 9, -20, -40, No Precipitation, 24, 30, Prevailing Direction, -60, -70, Normal
9, Tserdain, Thaumont, 10, -20, -40, No Precipitation, 24, 45, From Arctic, -70, -75, Normal
10, Moldain, Thaumont, 11, -20, -40, No Precipitation, 38, 45, Prevailing Direction, -70, -75, Normal
11, Nytdain, Thaumont, 12, -20, -40, No Precipitation, 39, 45, Prevailing Direction, -70, -75, Normal
12, Loshdain, Thaumont, 13, -15, -30, No Precipitation, 32, 45, Prevailing Direction, -65, -75, Normal
13, Soladain, Thaumont, 14, 0, -10, No Precipitation, 21, 30, From Tropics, -45, -70, Normal
14, Lunadain, Thaumont, 15, 10, 0, No Precipitation, 32, 15, Prevailing Direction, -30, -45, Normal
15, Gromdain, Thaumont, 16, 18, 10, No Precipitation, 31, 5, Prevailing Direction, -5, -5, Normal
16, Tserdain, Thaumont, 17, 18, 10, No Precipitation, 33, 5, Prevailing Direction, -5, -5, Normal
17, Moldain, Thaumont, 18, 25, 10, No Precipitation, 26, 0, Indescernable, -5, -5, Drought
18, Nytdain, Thaumont, 19, 10, 0, No Precipitation, 26, 15, Prevailing Direction, -30, -45, Drought
19, Loshdain, Thaumont, 20, 25, 10, No Precipitation, 39, 0, Indescernable, -5, -5, Drought
20, Soladain, Thaumont, 21, 18, 10, No Precipitation, 30, 0, Indescernable, -5, -5, Drought
21, Lunadain, Thaumont, 22, 25, 10, No Precipitation, 39, 0, Indescernable, -5, -5, Drought
22, Gromdain, Thaumont, 23, 18, 10, No Precipitation, 22, 0, Indescernable, -5, -5, Drought
23, Tserdain, Thaumont, 24, 25, 10, No Precipitation, 40, 0, Indescernable, -5, -5, Drought
24, Moldain, Thaumont, 25, 25, 10, No Precipitation, 39, 0, Indescernable, -5, -5, Drought
25, Nytdain, Thaumont, 26, 18, 10, No Precipitation, 37, 0, Indescernable, -5, -5, Drought
26, Loshdain, Thaumont, 27, 25, 10, No Precipitation, 25, 0, Indescernable, -5, -5, Normal
27, Soladain, Thaumont, 28, 25, 10, No Precipitation, 36, 0, Indescernable, -5, -5, Normal
28, Lunadain, Flaurmont, 1, 18, 10, Trace Snow (1/2 inch), 34, 10, Prevailing Direction, -20, -30, Normal
29, Gromdain, Flaurmont, 2, 25, 10, No Precipitation, 39, 0, Indescernable, -5, -5, Normal
30, Tserdain, Flaurmont, 3, 10, 0, No Precipitation, 36, 10, From Arctic, -20, -30, Normal
31, Moldain, Flaurmont, 4, -5, -20, No Precipitation, 37, 20, From Arctic, -40, -55, Normal
32, Nytdain, Flaurmont, 5, -5, -20, No Precipitation, 28, 20, Prevailing Direction, -40, -55, Normal
33, Loshdain, Flaurmont, 6, 0, -10, No Precipitation, 38, 10, Prevailing Direction, -20, -30, Normal
34, Soladain, Flaurmont, 7, 10, 0, No Precipitation, 25, 0, Indescernable, -5, -5, Normal
35, Lunadain, Flaurmont, 8, 30, 15, No Precipitation, 33, 0, Indescernable, -5, -5, Normal
36, Gromdain, Flaurmont, 9, 35, 15, No Precipitation, 31, 0, Indescernable, 0, -5, Normal
37, Tserdain, Flaurmont, 10, 30, 15, No Precipitation, 35, 0, Indescernable, -5, -5, Normal
38, Moldain, Flaurmont, 11, 18, 10, Trace Snow (1/2 inch), 30, 10, From Arctic, -20, -30, Normal
39, Nytdain, Flaurmont, 12, 0, -10, No Precipitation, 37, 20, From Arctic, -35, -55, Normal
40, Loshdain, Flaurmont, 13, 10, 0, No Precipitation, 37, 5, Prevailing Direction, -5, -5, Normal
41, Soladain, Flaurmont, 14, 0, -10, No Precipitation, 21, 20, Prevailing Direction, -35, -55, Normal
42, Lunadain, Flaurmont, 15, -15, -30, No Precipitation, 24, 35, From Arctic, -65, -75, Normal
43, Gromdain, Flaurmont, 16, -15, -30, No Precipitation, 40, 45, Prevailing Direction, -65, -75, Normal
44, Tserdain, Flaurmont, 17, -15, -30, Trace Snow (1/2 inch), 38, 45, From Arctic, -65, -75, Normal
45, Moldain, Flaurmont, 18, -15, -30, No Precipitation, 26, 45, Prevailing Direction, -65, -75, Normal
46, Nytdain, Flaurmont, 19, -5, -20, No Precipitation, 38, 45, Prevailing Direction, -60, -75, Normal
47, Loshdain, Flaurmont, 20, 0, -10, No Precipitation, 26, 35, Prevailing Direction, -50, -75, Normal
48, Soladain, Flaurmont, 21, -5, -20, Trace Snow (1/2 inch), 30, 45, Prevailing Direction, -60, -75, Normal
49, Lunadain, Flaurmont, 22, 0, -10, No Precipitation, 25, 30, Prevailing Direction, -45, -70, Normal
50, Gromdain, Flaurmont, 23, 18, 10, No Precipitation, 36, 15, From Tropics, -35, -45, Normal
51, Tserdain, Flaurmont, 24, 18, 10, No Precipitation, 34, 15, Prevailing Direction, -35, -45, Normal
52, Moldain, Flaurmont, 25, 0, -10, No Precipitation, 26, 25, From Arctic, -40, -65, Normal
53, Nytdain, Flaurmont, 26, 0, -10, No Precipitation, 24, 25, Prevailing Direction, -40, -65, Normal
54, Loshdain, Flaurmont, 27, 10, 0, No Precipitation, 28, 15, Prevailing Direction, -30, -45, Normal
55, Soladain, Flaurmont, 28, -5, -20, No Precipitation, 30, 30, From Arctic, -50, -70, Normal
56, Lunadain, Yarthmont, 1, -5, -20, No Precipitation, 24, 45, Prevailing Direction, -60, -75, Normal
57, Gromdain, Yarthmont, 2, -5, -20, No Precipitation, 37, 45, Prevailing Direction, -60, -75, Normal
58, Tserdain, Yarthmont, 3, 10, 0, No Precipitation, 27, 35, From Tropics, -45, -75, Normal
59, Moldain, Yarthmont, 4, 25, 10, No Precipitation, 23, 20, From Tropics, -30, -55, Normal
60, Nytdain, Yarthmont, 5, 10, 0, No Precipitation, 30, 35, From Arctic, -45, -75, Normal
61, Loshdain, Yarthmont, 6, -5, -20, No Precipitation, 25, 0, Indescernable, -5, -5, Normal
62, Soladain, Yarthmont, 7, -5, -20, No Precipitation, 31, 15, Prevailing Direction, -35, -45, Normal
63, Lunadain, Yarthmont, 8, 18, 10, No Precipitation, 29, 0, Indescernable, -5, -5, Normal
64, Gromdain, Yarthmont, 9, 18, 10, No Precipitation, 39, 0, Indescernable, -5, -5, Normal
65, Tserdain, Yarthmont, 10, 10, 0, No Precipitation, 38, 15, Prevailing Direction, -30, -45, Normal
66, Moldain, Yarthmont, 11, 18, 10, No Precipitation, 40, 5, Prevailing Direction, -5, -5, Normal
67, Nytdain, Yarthmont, 12, 25, 10, No Precipitation, 39, 0, Indescernable, -5, -5, Normal
68, Loshdain, Yarthmont, 13, 30, 15, No Precipitation, 23, 0, Indescernable, -5, -5, Normal
69, Soladain, Yarthmont, 14, 25, 10, No Precipitation, 33, 10, Prevailing Direction, -15, -30, Normal
70, Lunadain, Yarthmont, 15, 35, 15, No Precipitation, 40, 0, Indescernable, 0, -5, Drought
71, Gromdain, Yarthmont, 16, 25, 10, No Precipitation, 36, 15, Prevailing Direction, -25, -45, Drought
72, Tserdain, Yarthmont, 17, 30, 15, No Precipitation, 32, 0, Indescernable, -5, -5, Drought
73, Moldain, Yarthmont, 18, 25, 10, No Precipitation, 25, 10, Prevailing Direction, -15, -30, Drought
74, Nytdain, Yarthmont, 19, 10, 0, No Precipitation, 29, 25, From Arctic, -40, -65, Drought
75, Loshdain, Yarthmont, 20, 0, -10, No Precipitation, 34, 40, Prevailing Direction, -50, -75, Drought
76, Soladain, Yarthmont, 21, -5, -20, No Precipitation, 31, 45, From Arctic, -60, -75, Drought
77, Lunadain, Yarthmont, 22, 0, -10, No Precipitation, 39, 45, Prevailing Direction, -50, -75, Drought
78, Gromdain, Yarthmont, 23, 0, -10, No Precipitation, 27, 45, Prevailing Direction, -50, -75, Normal
79, Tserdain, Yarthmont, 24, -5, -20, No Precipitation, 31, 45, Prevailing Direction, -60, -75, Normal
80, Moldain, Yarthmont, 25, 10, 0, No Precipitation, 36, 35, From Tropics, -45, -75, Normal
81, Nytdain, Yarthmont, 26, 10, 0, No Precipitation, 35, 35, Prevailing Direction, -45, -75, Normal
